english,spanish
station,estación
acting,interino
accept,aceptar
blow,explotar
strange,extraño
saved,salvado
Ivy or ivy,Hiedra o hiedra
conversation,conversación
plane,plano
mama,mamá
yesterday,el dia de ayer
lied,mintió
quick,rápido
lately,últimamente
stuck,atascado
lovely,hermoso
security,seguridad
report,reporte
Barbara,Bárbara
difference,diferencia
rid,librar
tv or TV,TV o TV
Adam,Adán
store,Tienda
she'd,cobertizo
bag,bolsa
Mike,Miguel
bought,comprado
ball,pelota
single,único
Kevin,Kevin
doubt,duda
listening,escuchando
major,importante
walking,caminando
cops,policías
blue,azul
deep,profundo
dangerous,peligroso
Buffy,Buffy
park or Park,parque o parque
sleeping,dormido
Chloe,Chloe
Rafe,Rafe
shh,shh
record,registro
lord,caballero
Erica,Erica
moved,movido
join,unirse
key,llave
captain,capitán
card,tarjeta
crime,delito
gentlemen,caballeros
willing,deseoso
window,ventana
return,devolver
walked,caminado
guilty,culpable
Brenda,Brenda
likes,gustos
fighting,lucha
difficult,difícil
soul,alma
joke,broma
service,Servicio
magic,magia
favorite,favorito
uncle,tío
promised,prometido
public,público
bother,molestar
island,isla
Jim,Jim
seriously,en serio
cell,célula
lead,Plomo
knowing,conocimiento
broken,roto
advice,consejo
somehow,de alguna manera
paid,pagado
Blair,Blair
losing,perdiendo
push,empujar
helped,ayudó
killing,asesinato
usually,normalmente
earlier,más temprano
boss,jefe
Laura,Laura
beginning,comienzo
liked,apreciado
innocent,inocente
doc,doc
rules,normas
Elizabeth,Elizabeth
Sabrina,Sabrina
summer or Summer,verano o verano
ex,ex
cop,policía
learned,aprendió
thirty,treinta
risk,riesgo
letting,dejado
Phillip,Phillip
speaking,discurso
officer,oficial
ridiculous,ridículo
support,apoyo
afternoon,tarde
Eric,Eric
born,nacido
dreams,Sueños
apologize,disculparse
seat,asiento
nervous,nervioso
across,a través de
song,canción
Olivia,Olivia
charge,cobrar
patient,paciente
Cassie,Castaño
boat,barco
how'd,como
brain,cerebro
hide,ocultar
detective,detective
Aaron,Aaron
Kendall,Kendall
general,general
Tom,Tomás
planning,planificación
nine,nueve
huge,enorme
breakfast,desayuno
horrible,horrible
age,años
awful,horrible
pleasure,Placer
driving,conduciendo
hanging,colgando
picked,escogido
system,sistema
sell,vender
quit,abandonar
apparently,aparentemente
dying,muriendo
notice,aviso
Josh,Josh
congratulations,Felicidades
chief,jefe
faith,fe
Simon,Simón
gay,gay
ho or Ho,ho o ho
one's,unos
month,mes
visit,visitar
Hal,Hal
could've,podría tener
c'mon,vamos
aw,aw
Edmund,Edmund
Brady,Brady
letter,carta
decide,decidir
American,Americano
double,doble
Troy,Troy
sad,triste
press,prensa
forward,delantero
fool,engañar
showed,mostró
smell,oler
seemed,pareció
Mary,María
spell,deletrear
Courtney,Courtney
memory,memoria
Mark or mark,Marcar o marcar
Alan,Alan
pictures,fotos
Paris,París
slow,lento
Joe or joe,Joe o Joe
Tim,Tim
seconds,segundos
hungry,hambriento
board,junta
position,posición
hearing,audiencia
Roz,Roz
kitchen,cocina
ma'am,señora
Bob or bob,Bob o Bob
force,fuerza
fly,volar
during,durante
space,espacio
should've,debería tener
realized,comprendió
experience,experiencia
kick,patada
others,otros
grab,tomar
mother's,de la madre
P.,PAGS.
Sharon,Sharon
discuss,conversar
third,tercera
cat or Cat,gato o gato
fifty,cincuenta
responsible,responsable
Jennifer,Jennifer
Philip,Filipes
miles or Miles,millas o millas
fat,grasa
reading,lectura
idiot,estúpido
yep,sí
rock,roca
rich,rico
suddenly,de repente
agent,agente
bunch,racimo
destroy,destruir
bucks,bucle
track,pista
shoes,Zapatos
scene,escena
peace,paz
arms,brazos
demon,demonio
Diane,Diane
Bridget,Bridget
Brad,Puntilla
low,bajo
Livvie,Livvie
consider,considerar
papers,documentos
medical,médico
incredible,increíble
witch,bruja
er,jerga
drunk,ebrio
attorney,abogado
Charlie,Charlie
tells,contado
knock,golpear
Karen,Karen
ways,maneras
eh,eh
belle or Belle,Belle o Belle
cash or Cash,efectivo o efectivo
gives,da
department,Departamento
nose,nariz
Skye,Skye
turns,vueltas
keeps,guardia
beer,cerveza
jealous,celoso
drug,droga
Molly,muchacha
sooner,cuanto antes
cares,cuidados
plenty,mucho
extra,extra
tea,té
won,ganó
attack,ataque
ground,terrestre
whose,cuyo
outta,fuera
Kyle,Kyle
L.,L
weekend,fin de semana
matters,asuntos
wrote,escribió
type,escribe
father's,del padre
Alex,Alex
gosh,Dios mio
opportunity,oportunidad
king,rey
impossible,imposible
books,libros
machine,máquina
waste,desperdicio
th,th
pretend,fingir
named,nombrada
danger,peligro
wall,pared
Liz,Liz
Ian,Ian
Henry,Enrique
jump,salto
eating,comiendo
proof,prueba
complete,completo
slept,dormido
career,carrera profesional
arrest,arrestar
star,estrella
Phyllis,Phyllis
Mac,Mac
breathe,respirar
perfectly,perfectamente
warm,cálido
pulled,tirado
Maria,María
twice,dos veces
easier,más fácil
killer,asesino
goin',entra'
dating,Fechado
suit,traje
romantic,romántico
drugs,drogas
comfortable,cómodo
Isaac,Isaac
powers or Powers,poderes o poderes
finds,hallazgos
checked,comprobado
fit,adaptar
divorce,divorcio
begin,empezar
ourselves,Nosotros mismos
closer,cerca
ruin,ruina
although,a pesar de que
smile,sonreír
laugh,risa
fish,pez
Abigail,Abigail
treat,tratar
god's,Dioses
fear,miedo
Anna,Anna
what'd,que
Simone,Simone
Amber,Ámbar
guy's,tipo
otherwise,de lo contrario
excited,entusiasmado
mail,correo
hiding,ocultación
cost,costo
green or Green,verde o verde
stole,robó
Pacey,Pacey
noticed,observó
Liza,Liza
fired,encendido
Daphne,Dafne
Whitney,Whitney
excellent,excelente
lived,vivió
bringing,trayectoria
pop,estallido
piper or Piper,Piper o Piper
bottom,abajo
note,Nota
sudden,repentino
church,iglesia
bathroom,baño
flight,vuelo
Chad or chad,Chad o Chad
la or LA,LA o LA
honestly,honestamente
sing,cantar
Katie,Katie
foot,pie
games,juegos
glass,vidrio
N.,NORTE.
Mitch,Mitch
remind,recordar
bank,banco
Rory,Rory
charges,cargos
witness,testigo
finding,hallazgo
places,lugares
tree,árbol
dare,atrevimiento
hardly,difícilmente
that'll,eso será
U.,U.
interest,interés
steal,robar
princess,princesa
silly,tonto
contact,contacto
teach,enseñar
shop,tienda
plus,más
colonel,coronel
fresh,nuevo
trial,prueba
invited,invitado
roll,rodar
radio,radio
art,Arte
reach,alcanzar
heh,je
dirty,sucio
choose,elegir
emergency,emergencia
dropped,caído
butt,extremo
credit,crédito
obvious,obvio
cry,llorar
locked,encerrado
Larry,Larry
loving,cariñoso
positive,positivo
nuts,nueces
agreed,acordado
Prue,Prue
price or Price,precio o precio
goodbye,adiós
condition,condición
guard,Guardia
fuckin',jodido
grow,crecer
cake,pastel
