,english,spanish
0,station,estación
1,acting,interino
2,accept,aceptar
3,blow,explotar
4,strange,extraño
5,saved,salvado
6,Ivy or ivy,Hiedra o hiedra
7,conversation,conversación
8,plane,plano
9,mama,mamá
10,yesterday,el dia de ayer
11,lied,mintió
12,quick,rápido
13,lately,últimamente
14,stuck,atascado
15,lovely,hermoso
16,security,seguridad
17,report,reporte
18,Barbara,Bárbara
19,difference,diferencia
20,tv or TV,TV o TV
21,Adam,Adán
22,store,Tienda
23,she'd,cobertizo
24,bag,bolsa
25,Mike,Miguel
26,bought,comprado
27,ball,pelota
28,single,único
29,Kevin,Kevin
30,doubt,duda
31,listening,escuchando
32,major,importante
33,walking,caminando
34,cops,policías
35,blue,azul
36,deep,profundo
37,dangerous,peligroso
38,Buffy,Buffy
39,park or Park,parque o parque
40,sleeping,dormido
41,Chloe,Chloe
42,Rafe,Rafe
43,shh,shh
44,lord,caballero
45,Erica,Erica
46,join,unirse
47,key,llave
48,captain,capitán
49,card,tarjeta
50,crime,delito
51,gentlemen,caballeros
52,willing,deseoso
53,window,ventana
54,return,devolver
55,walked,caminado
56,guilty,culpable
57,Brenda,Brenda
58,likes,gustos
59,fighting,lucha
60,difficult,difícil
61,soul,alma
62,joke,broma
63,service,Servicio
64,magic,magia
65,favorite,favorito
66,uncle,tío
67,promised,prometido
68,public,público
69,bother,molestar
70,island,isla
71,Jim,Jim
72,seriously,en serio
73,cell,célula
74,lead,Plomo
75,knowing,conocimiento
76,broken,roto
77,advice,consejo
78,somehow,de alguna manera
79,paid,pagado
80,Blair,Blair
81,losing,perdiendo
82,push,empujar
83,helped,ayudó
84,killing,asesinato
85,usually,normalmente
86,earlier,más temprano
87,boss,jefe
88,Laura,Laura
89,beginning,comienzo
90,liked,apreciado
91,innocent,inocente
92,doc,doc
93,rules,normas
94,Elizabeth,Elizabeth
95,Sabrina,Sabrina
96,summer or Summer,verano o verano
97,ex,ex
98,cop,policía
99,learned,aprendió
100,thirty,treinta
101,risk,riesgo
102,letting,dejado
103,Phillip,Phillip
104,speaking,discurso
105,officer,oficial
106,ridiculous,ridículo
107,support,apoyo
108,afternoon,tarde
109,Eric,Eric
110,born,nacido
111,dreams,Sueños
112,apologize,disculparse
113,seat,asiento
114,nervous,nervioso
115,across,a través de
116,song,canción
117,charge,cobrar
118,patient,paciente
119,Cassie,Castaño
120,boat,barco
121,how'd,como
122,brain,cerebro
123,hide,ocultar
124,detective,detective
125,Aaron,Aaron
126,Kendall,Kendall
127,general,general
128,Tom,Tomás
129,planning,planificación
130,nine,nueve
131,breakfast,desayuno
132,horrible,horrible
133,age,años
134,awful,horrible
135,pleasure,Placer
136,driving,conduciendo
137,hanging,colgando
138,picked,escogido
139,system,sistema
140,sell,vender
141,quit,abandonar
142,dying,muriendo
143,notice,aviso
144,Josh,Josh
145,congratulations,Felicidades
146,chief,jefe
147,faith,fe
148,Simon,Simón
149,gay,gay
150,ho or Ho,ho o ho
151,one's,unos
152,month,mes
153,visit,visitar
154,Hal,Hal
155,could've,podría tener
156,c'mon,vamos
157,aw,aw
158,Edmund,Edmund
159,Brady,Brady
160,letter,carta
161,decide,decidir
162,American,Americano
163,double,doble
164,Troy,Troy
165,sad,triste
166,press,prensa
167,forward,delantero
168,fool,engañar
169,showed,mostró
170,smell,oler
171,seemed,pareció
172,Mary,María
173,spell,deletrear
174,Courtney,Courtney
175,memory,memoria
176,Mark or mark,Marcar o marcar
177,pictures,fotos
178,Paris,París
179,slow,lento
180,Joe or joe,Joe o Joe
181,Tim,Tim
182,seconds,segundos
183,hungry,hambriento
184,board,junta
185,position,posición
186,hearing,audiencia
187,Roz,Roz
188,kitchen,cocina
189,ma'am,señora
190,Bob or bob,Bob o Bob
191,force,fuerza
192,fly,volar
193,during,durante
194,space,espacio
195,should've,debería tener
196,realized,comprendió
197,experience,experiencia
198,kick,patada
199,others,otros
200,grab,tomar
201,mother's,de la madre
202,P.,PAGS.
203,Sharon,Sharon
204,discuss,conversar
205,third,tercera
206,cat or Cat,gato o gato
207,fifty,cincuenta
208,responsible,responsable
209,Jennifer,Jennifer
210,Philip,Filipes
211,miles or Miles,millas o millas
212,fat,grasa
213,reading,lectura
214,idiot,estúpido
215,yep,sí
216,rock,roca
217,rich,rico
218,suddenly,de repente
219,agent,agente
220,bunch,racimo
221,destroy,destruir
222,bucks,bucle
223,track,pista
224,shoes,Zapatos
225,scene,escena
226,arms,brazos
227,demon,demonio
228,Diane,Diane
229,Bridget,Bridget
230,Brad,Puntilla
231,low,bajo
232,Livvie,Livvie
233,consider,considerar
234,papers,documentos
235,medical,médico
236,incredible,increíble
237,witch,bruja
238,er,jerga
239,drunk,ebrio
240,attorney,abogado
241,Charlie,Charlie
242,tells,contado
243,knock,golpear
244,Karen,Karen
245,ways,maneras
246,eh,eh
247,belle or Belle,Belle o Belle
248,cash or Cash,efectivo o efectivo
249,gives,da
250,department,Departamento
251,nose,nariz
252,Skye,Skye
253,turns,vueltas
254,keeps,guardia
255,beer,cerveza
256,jealous,celoso
257,drug,droga
258,Molly,muchacha
259,sooner,cuanto antes
260,cares,cuidados
261,plenty,mucho
262,extra,extra
263,tea,té
264,won,ganó
265,attack,ataque
266,ground,terrestre
267,whose,cuyo
268,outta,fuera
269,Kyle,Kyle
270,L.,L
271,weekend,fin de semana
272,matters,asuntos
273,wrote,escribió
274,type,escribe
275,father's,del padre
276,Alex,Alex
277,gosh,Dios mio
278,opportunity,oportunidad
279,king,rey
280,impossible,imposible
281,books,libros
282,machine,máquina
283,waste,desperdicio
284,th,th
285,pretend,fingir
286,named,nombrada
287,danger,peligro
288,wall,pared
289,Liz,Liz
290,Ian,Ian
291,Henry,Enrique
292,jump,salto
293,eating,comiendo
294,proof,prueba
295,complete,completo
296,slept,dormido
297,career,carrera profesional
298,arrest,arrestar
299,star,estrella
300,Phyllis,Phyllis
301,Mac,Mac
302,breathe,respirar
303,perfectly,perfectamente
304,warm,cálido
305,pulled,tirado
306,Maria,María
307,twice,dos veces
308,easier,más fácil
309,killer,asesino
310,goin',entra'
311,dating,Fechado
312,romantic,romántico
313,drugs,drogas
314,comfortable,cómodo
315,Isaac,Isaac
316,powers or Powers,poderes o poderes
317,finds,hallazgos
318,checked,comprobado
319,divorce,divorcio
320,begin,empezar
321,ourselves,Nosotros mismos
322,closer,cerca
323,ruin,ruina
324,although,a pesar de que
325,smile,sonreír
326,laugh,risa
327,fish,pez
328,Abigail,Abigail
329,treat,tratar
330,god's,Dioses
331,fear,miedo
332,Anna,Anna
333,what'd,que
334,Simone,Simone
335,Amber,Ámbar
336,guy's,tipo
337,otherwise,de lo contrario
338,excited,entusiasmado
339,mail,correo
340,hiding,ocultación
341,cost,costo
342,green or Green,verde o verde
343,stole,robó
344,Pacey,Pacey
345,noticed,observó
346,Liza,Liza
347,fired,encendido
348,Daphne,Dafne
349,Whitney,Whitney
350,excellent,excelente
351,lived,vivió
352,bringing,trayectoria
353,pop,estallido
354,piper or Piper,Piper o Piper
355,bottom,abajo
356,note,Nota
357,sudden,repentino
358,church,iglesia
359,bathroom,baño
360,flight,vuelo
361,Chad or chad,Chad o Chad
362,la or LA,LA o LA
363,honestly,honestamente
364,sing,cantar
365,Katie,Katie
366,foot,pie
367,games,juegos
368,glass,vidrio
369,N.,NORTE.
370,Mitch,Mitch
371,remind,recordar
372,bank,banco
373,Rory,Rory
374,charges,cargos
375,witness,testigo
376,finding,hallazgo
377,places,lugares
378,tree,árbol
379,dare,atrevimiento
380,hardly,difícilmente
381,that'll,eso será
382,U.,U.
383,interest,interés
384,steal,robar
385,princess,princesa
386,silly,tonto
387,contact,contacto
388,teach,enseñar
389,shop,tienda
390,plus,más
391,colonel,coronel
392,fresh,nuevo
393,trial,prueba
394,invited,invitado
395,roll,rodar
396,radio,radio
397,art,Arte
398,reach,alcanzar
399,heh,je
400,dirty,sucio
401,choose,elegir
402,emergency,emergencia
403,dropped,caído
404,butt,extremo
405,credit,crédito
406,obvious,obvio
407,cry,llorar
408,locked,encerrado
409,Larry,Larry
410,loving,cariñoso
411,positive,positivo
412,nuts,nueces
413,agreed,acordado
414,Prue,Prue
415,price or Price,precio o precio
416,goodbye,adiós
417,condition,condición
418,guard,Guardia
419,fuckin',jodido
420,grow,crecer
421,cake,pastel
422,mood,estado animico
423,dad's,papá
424,Bianca,Bianca
425,total,total
426,crap,tonterías
427,crying,llorando
428,Paige,Paige
429,K. or 'k,K. o 'K
430,belong,pertenecer
431,lay,poner
432,partner,compañero
433,pressure,presión
434,ohh,oh
435,arm,brazo
436,dressed,vestido
437,cup,taza
438,lies,mentiras
439,bus,autobús
440,taste,gusto
441,neck,cuello
442,south,sur
443,something's,algunas cosas
444,nurse,enfermera
445,raise,elevar
446,land,tierra
447,lots,un montón
448,mister,señor
449,carry,llevar
450,group,grupo
451,whoever,quien
452,Eddie,Eddie
453,drinking,Bebiendo
454,they'd,ellos
455,breaking,rotura
456,file,expediente
457,lock,cerrar
458,computer,computadora
459,yo,yo
460,Rebecca,Rebecca
461,wine,vino
462,closed,cerrado
463,writing,escritura
464,spot,lugar
465,paying,pago
466,study,estudiar
467,assume,asumir
468,asleep,dormido
469,man's,hombre
470,turning,torneado
471,legal,legal
472,justice,justicia
473,Viki,Viki
474,Chandler,Velero
475,bedroom,dormitorio
476,shower,ducha
477,Nikolas,Nikolas
478,camera,cámara
479,fill,llenar
480,reasons,razones
481,forty,cuarenta
482,bigger,más grande
483,nope,no
484,keys,llaves
485,Starr,Estrella
486,breath,aliento
487,doctors,doctores
488,pants,pantalones
489,freak,fenómeno
490,level,nivel
491,French,Francés
492,movies,películas
493,gee,Caramba
494,Monica,Mónica
495,action,acción
496,area,área
497,folks,amigos
498,Steve,Steve
499,cream,crema
500,ugh,puaj
501,continue,Seguir
502,focus,enfoque
503,wild,salvaje
504,truly,realmente
505,Jill or jill,Jill o Jill
506,desk,escritorio
507,convince,convencer
508,client,cliente
509,threw,tiró
510,Taylor,Taylor
511,band,banda
512,hurts,duele
513,Charles,Charles
514,spending,gasto
515,Neil,Neil
516,field or Field,campo o campo
517,allow,permitir
518,grand,grandioso
519,answers,respuestas
520,shirt,camisa
521,chair,silla
522,Christ or christ,Cristo o Cristo
523,allowed,permitió
524,rough,bruto
525,doin,hacer
526,sees,visión
527,government,gobierno
528,Harry,Harry
529,empty,vacío
530,round,redondo
531,lights,luces
532,insane,loco
533,hall or Hall,salón o salón
534,hat,sombrero
535,bastard,bastardo
536,wind,viento
537,shows,espectáculos
538,aware,consciente
539,dealing,relación comercial
540,pack,paquete
541,meaning,sentido
542,flowers,flores
543,tight,apretado
544,hurting,doloroso
545,ship,Embarcacion
546,subject,tema
547,guest,invitado
548,mom's,de mamá
549,chicken,pollo
550,pal,camarada
551,match,juego
552,Elaine,Elaine
553,arrested,detenido
554,sun,sol
555,Rachel,Rachel
556,Salem,Salem
557,confused,confundido
558,surgery,cirugía
559,expecting,esperanza
560,deacon,diácono
561,Colleen,Muchacha
562,unfortunately,desafortunadamente
563,goddamn,maldito
564,lab,laboratorio
565,passed,pasó
566,bottle,botella
567,beyond,más allá de
568,whenever,cuando sea
569,pool,piscina
570,opinion,opinión
571,naked,desnudo
572,held,retenida
573,common,común
574,starts,empieza
575,jerk,imbécil
576,secrets,misterios
577,falling,descendente
578,played,jugó
579,necessary,necesario
580,barely,apenas
581,dancing,bailando
582,health,salud
583,tests,pruebas
584,copy,Copiar
585,Keri,Keri
586,video,video
587,cousin,primo
588,planned,planificado
589,Vanessa,Vanessa
590,dry,seco
591,ahem,Ejem
592,twelve,doce
593,simply,simplemente
594,Tess,Tess
595,Scott,Escocés
596,skin,piel
597,often,con frecuencia
598,English,inglés
599,fifteen,quince
600,spirit,espíritu
601,speech,discurso
602,names,nombramiento
603,issue,tema
604,orders,pedidos
605,nah,na
606,final,final
607,Michelle,Michelle
608,America,America
609,St.,S t.
610,results,resultados
611,code,código
612,Ned,Ned
613,Bonnie,Bonnie
614,W.,W.
615,believed,creído
616,complicated,Complicado
617,umm,umm
618,research,investigar
619,nowhere,en ningún lugar
620,escape,Escapar
621,biggest,más grande
622,restaurant,restaurante
623,page or Page,página o página
624,grateful,agradecido
625,usual,habitual
626,burn,quemar
627,Chicago,Chicago
628,Austin,Austin
629,address,Dirección
630,within,dentro de
631,someplace,en algún lugar
632,screw,tornillo
633,everywhere,En todas partes
634,train,tren
635,film,película
636,regret,lamentar
637,goodness,bondad
638,mistakes,errores
639,heaven or Heaven,cielo o cielo
640,details,detalles
641,responsibility,responsabilidad
642,suspect,sospechar
643,corner,esquina
644,hero,héroe
645,dumb,mudo
646,terrific,fantástico
647,Peter,Péter
648,mission,misión
649,further,más lejos
650,Amy,Amy
651,gas,gas
652,whoo,whoo
653,hole,agujero
654,memories,recuerdos
655,o'clock,en punto
656,Brian,Brio
657,truck,camión
658,following,siguiendo
659,ended,terminado
660,nobody's,nadie
661,Margo,Margo
662,teeth,dientes
663,ruined,arruinado
664,Hank,Madeja
665,split,separar
666,Reva,Reva
667,bear,llevar
668,airport,aeropuerto
669,bite,morder
670,smoke,fumar
671,Stenbeck,Stenbeck
672,older,más viejo
673,liar,mentiroso
674,horse,caballo
675,Gwen,Gwen
676,van or Van,camioneta o camioneta
677,project,proyecto
678,cards,tarjetas
679,desperate,desesperado
680,themselves,ellos mismos
681,search,búsqueda
682,pathetic,patético
683,spoke,habló
684,quickly,rápidamente
685,scare,susto
686,Marah,Marah
687,G.,GRAMO.
688,beach,playa
689,Mia,Desaparecido en combate
690,brown or Brown,marrón o marrón
691,afford,solventar
692,vote,votar
693,settle,asentarse
694,gold,oro
695,re or 're,re o 're
696,ed or -ed,ed o -ed
697,due,adeudado
698,passion,pasión
699,Y. or -y,Y. o -y
700,stayed,permaneció
701,rule,regla
702,Friday,Viernes
703,checking,comprobación
704,tie,Corbata
705,hired,contratado
706,upon,al
707,rush or Rush,Rush o Rush
708,Tad,Un poco
709,heads,cabezales
710,concern,inquietud
711,blew,sopló
712,natural,natural
713,Alcazar,Alcázar
714,champagne,champán
715,connection,conexión
716,tickets,Entradas
717,Kate,Kate
718,finger,dedo
719,happiness,felicidad
720,form,forma
721,saving,ahorro
722,kissing,besos
723,Martin,Martín
724,hated,odiado
725,personally,personalmente
726,suggest,sugerir
727,prepared,preparado
728,build,construir
729,leg,pierna
730,onto,sobre
731,leaves,hojas
732,downstairs,abajo
733,ticket,boleto
734,it'd,lo hicieron
735,taught,enseñó
736,loose,suelto
737,holy,santo
738,staff,personal
739,sea,mar
740,Asa,Como un
741,planet,planeta
742,duty,deber
743,convinced,convencido
744,throwing,lanzamiento
745,defense,defensa
746,Harvey,Harvey
747,kissed,besado
748,legs,piernas
749,Dave,Dave
750,according,de acuerdo a
751,loud,alto
752,practice,práctica
753,Andy,Andy
754,Jess,Cadena
755,Saturday,sábado
756,Colin,Colin
757,bright or Bright,brillante o brillante
758,Amanda,Amanda
759,Fraser,Fraser
760,F.,F.
761,babies,bebés
762,army,ejército
763,where'd,donde D
764,warning,advertencia
765,miracle,milagro
766,carrying,que lleva
767,flying,volador
768,Caleb,Caleb
769,ugly,feo
770,shopping,compras
771,hates,odios
772,someone's,de alguien
773,Seth,Seth
774,monster,monstruo
775,sight,visión
